INFO 2024-08-21 14:54:50,011 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-21 14:54:50,013 autoreload Waiting for apps ready_event.
DEBUG 2024-08-21 14:54:50,051 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-21 14:54:50,070 autoreload Watching dir C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-08-21 14:54:50,071 autoreload Watching dir C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\videochatapp_backend\locale with glob **/*.mo.
DEBUG 2024-08-21 14:54:50,071 autoreload Watching dir C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\daphne\locale with glob **/*.mo.
DEBUG 2024-08-21 14:54:50,072 autoreload Watching dir C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-08-21 14:54:50,073 autoreload Watching dir C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-08-21 14:54:50,073 autoreload Watching dir C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-08-21 14:54:50,073 autoreload Watching dir C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\channels\locale with glob **/*.mo.
DEBUG 2024-08-21 14:54:50,074 autoreload Watching dir C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\videochatapp_backend\users\locale with glob **/*.mo.
DEBUG 2024-08-21 14:54:50,121 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-21 14:54:50,126 utils (0.015) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-21 14:54:50,128 runserver Daphne running, listening on 127.0.0.1:8000
DEBUG 2024-08-21 14:54:50,313 autoreload File C:\Program Files\Python312\Lib\multiprocessing\__init__.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,314 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1724200176.9234219
DEBUG 2024-08-21 14:54:50,314 autoreload File C:\Program Files\Python312\Lib\platform.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,314 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1724151663.8292255
DEBUG 2024-08-21 14:54:50,315 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\utils\version.py first seen with mtime 1724151663.9961782
DEBUG 2024-08-21 14:54:50,315 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework_simplejwt\settings.py first seen with mtime 1724200200.454165
DEBUG 2024-08-21 14:54:50,315 autoreload File C:\Program Files\Python312\Lib\email\errors.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,316 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1724151663.8790133
DEBUG 2024-08-21 14:54:50,316 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1724151662.114676
DEBUG 2024-08-21 14:54:50,316 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1724151663.828221
DEBUG 2024-08-21 14:54:50,316 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1724151663.9122193
DEBUG 2024-08-21 14:54:50,317 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1724151663.9668987
DEBUG 2024-08-21 14:54:50,318 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\attr\_make.py first seen with mtime 1724229420.5154414
DEBUG 2024-08-21 14:54:50,318 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\test\testcases.py first seen with mtime 1724151663.9762683
DEBUG 2024-08-21 14:54:50,319 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\utils\html.py first seen with mtime 1724200176.9234219
DEBUG 2024-08-21 14:54:50,319 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1724200176.7384136
DEBUG 2024-08-21 14:54:50,320 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\logger\_logger.py first seen with mtime 1724229421.5673492
DEBUG 2024-08-21 14:54:50,320 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\python\modules.py first seen with mtime 1724229421.6626642
DEBUG 2024-08-21 14:54:50,320 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1724151661.7863019
DEBUG 2024-08-21 14:54:50,321 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1724151661.7762983
DEBUG 2024-08-21 14:54:50,321 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1724151663.998178
DEBUG 2024-08-21 14:54:50,321 autoreload File C:\Program Files\Python312\Lib\unittest\util.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,322 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\autobahn\websocket\util.py first seen with mtime 1724229424.8705692
DEBUG 2024-08-21 14:54:50,322 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1724151663.855663
DEBUG 2024-08-21 14:54:50,323 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\contrib\postgres\search.py first seen with mtime 1724151663.2744422
DEBUG 2024-08-21 14:54:50,324 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1724200176.7443333
DEBUG 2024-08-21 14:54:50,324 autoreload File C:\Program Files\Python312\Lib\encodings\utf_8.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,325 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\attr\setters.py first seen with mtime 1724229420.5209603
DEBUG 2024-08-21 14:54:50,325 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\attr\validators.py first seen with mtime 1724229420.5219605
DEBUG 2024-08-21 14:54:50,326 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1724151663.986189
DEBUG 2024-08-21 14:54:50,327 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1724151661.7853558
DEBUG 2024-08-21 14:54:50,327 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\apps\registry.py first seen with mtime 1724151661.8971553
DEBUG 2024-08-21 14:54:50,328 autoreload File C:\Program Files\Python312\DLLs\_ctypes.pyd first seen with mtime 1717683902.0
DEBUG 2024-08-21 14:54:50,329 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1724151663.8898132
DEBUG 2024-08-21 14:54:50,329 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1724151662.7186825
DEBUG 2024-08-21 14:54:50,329 autoreload File C:\Program Files\Python312\Lib\email\utils.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,330 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\autobahn\wamp\__init__.py first seen with mtime 1724229424.8268375
DEBUG 2024-08-21 14:54:50,330 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1724200176.9204116
DEBUG 2024-08-21 14:54:50,330 autoreload File C:\Program Files\Python312\Lib\secrets.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,330 autoreload File C:\Program Files\Python312\Lib\fractions.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,331 autoreload File C:\Program Files\Python312\Lib\http\client.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,331 autoreload File C:\Program Files\Python312\Lib\collections\__init__.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,332 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\cryptography\__init__.py first seen with mtime 1724229424.570696
DEBUG 2024-08-21 14:54:50,334 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\VideoChatApp_backend\VideoChatApp_backend\urls.py first seen with mtime 1724206308.8172119
DEBUG 2024-08-21 14:54:50,335 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\core\files\move.py first seen with mtime 1724151663.8249967
DEBUG 2024-08-21 14:54:50,335 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1724151663.902217
DEBUG 2024-08-21 14:54:50,336 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1724151663.8968148
DEBUG 2024-08-21 14:54:50,336 autoreload File C:\Program Files\Python312\Lib\statistics.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,336 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\logger\_json.py first seen with mtime 1724229421.566352
DEBUG 2024-08-21 14:54:50,337 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\db\models\base.py first seen with mtime 1724151663.890813
DEBUG 2024-08-21 14:54:50,337 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1724151662.5641315
DEBUG 2024-08-21 14:54:50,337 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\daphne\server.py first seen with mtime 1724229425.4770038
DEBUG 2024-08-21 14:54:50,338 autoreload File C:\Program Files\Python312\Lib\email\mime\text.py first seen with mtime 1717683852.0
DEBUG 2024-08-21 14:54:50,338 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\x25519.py first seen with mtime 1724229424.5565696
DEBUG 2024-08-21 14:54:50,341 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1724200176.9254425
DEBUG 2024-08-21 14:54:50,341 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1724151661.7792997
DEBUG 2024-08-21 14:54:50,342 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1724151663.9841785
DEBUG 2024-08-21 14:54:50,342 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1724151663.9718986
DEBUG 2024-08-21 14:54:50,342 autoreload File C:\Users\hrish\Desktop\Hrishi\MiniProjects\WebRTC Application\myenv\Lib\site-packages\twisted\logger\_observer.py first seen with mtime 1724229421.5683494
